from_stop_id,to_stop_id,timespan,at,dt,mon,tue,wed,thu,fri,sat,sun,trip_id
2220362,2220351,180,27180,27000,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2220351,221891,120,27300,27180,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
221891,2217191,120,27420,27300,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2217191,2216172,120,27540,27420,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2216172,2216161,120,27660,27540,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2216161,220591,120,27780,27660,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
220591,2205113,180,27960,27780,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2205113,204483,60,28020,27960,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
204483,204475,180,28200,28020,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
204475,2015141,360,28560,28200,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2015141,2000344,120,28680,28560,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2000344,2000395,120,28860,28740,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2000395,2000362,120,29040,28920,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2000362,201172,120,29160,29040,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
201172,202762,180,29340,29160,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
202762,202291,180,29520,29340,1,1,1,1,1,0,0,1005.TA.2-T4-sj2-1.18.R
2533211,253481,540,60720,60180,1,1,1,1,1,0,0,1006.TA.2-SCO-sj2-1.55.H
253481,253591,540,61260,60720,1,1,1,1,1,0,0,1006.TA.2-SCO-sj2-1.55.H
253591,2541191,540,61800,61260,1,1,1,1,1,0,0,1006.TA.2-SCO-sj2-1.55.H
2220362,2220351,180,29580,29400,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2220351,221891,120,29700,29580,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
221891,2217191,120,29820,29700,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2217191,2216172,120,29940,29820,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2216172,2216161,120,30060,29940,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2216161,220591,120,30180,30060,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
220591,2205113,180,30360,30180,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2205113,204483,60,30420,30360,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
204483,204475,180,30600,30420,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
204475,2015141,360,30960,30600,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2015141,2000344,120,31080,30960,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2000344,2000395,120,31260,31140,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2000395,2000362,120,31440,31320,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2000362,201172,120,31560,31440,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
201172,202762,180,31740,31560,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
202762,202291,180,31920,31740,1,1,1,1,1,0,0,1006.TA.2-T4-sj2-1.18.R
2533211,253481,660,64920,64260,0,0,0,0,0,1,1,1010.TA.2-SCO-sj2-1.55.H
253481,253591,540,65460,64920,0,0,0,0,0,1,1,1010.TA.2-SCO-sj2-1.55.H
253591,2541191,600,66060,65460,0,0,0,0,0,1,1,1010.TA.2-SCO-sj2-1.55.H
202291,202761,180,63900,63720,1,1,1,1,1,0,0,1013.TA.2-T4-sj2-1.19.H
202761,201171,180,64080,63900,1,1,1,1,1,0,0,1013.TA.2-T4-sj2-1.19.H
201171,2000361,120,64200,64080,1,1,1,1,1,0,0,1013.TA.2-T4-sj2-1.19.H
2015142,204476,360,20700,20340,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
204476,204484,120,20820,20700,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
204484,2205114,120,20940,20820,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2205114,220594,120,21060,20940,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
220594,2216164,120,21180,21060,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2216164,2216175,120,21300,21180,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2216175,2217194,120,21420,21300,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2217194,221894,120,21540,21420,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
221894,2220354,120,21660,21540,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2220354,2220364,180,21840,21660,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2220364,2222132,120,21960,21840,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2222132,2223292,120,22080,21960,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2223292,2223302,120,22200,22080,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2223302,2226102,240,22440,22200,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2226102,2226112,120,22560,22440,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2226112,2232292,180,22740,22560,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2232292,2232282,120,22920,22800,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2232282,2233272,300,23220,22920,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2233272,2233282,180,23400,23220,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
2233282,2233292,360,23760,23400,0,0,0,0,0,1,1,1042.TA.2-T4-sj2-1.19.H
202291,202761,180,70080,69900,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
202761,201171,180,70260,70080,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
201171,2000361,120,70380,70260,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2000361,2000394,120,70500,70380,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2000394,2000345,120,70680,70560,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2000345,2015142,120,70860,70740,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2015142,2205114,420,71280,70860,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2205114,2220364,480,71760,71280,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2220364,2222132,120,71940,71820,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2222132,2223292,120,72060,71940,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2223292,2232292,540,72600,72060,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2232292,2232282,120,72720,72600,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2232282,2233272,300,73020,72720,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2233272,2233282,240,73260,73020,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2233282,2233292,360,73620,73260,1,1,1,1,1,0,0,1043.TA.2-T4-sj2-1.19.H
2533211,253481,540,17280,16740,1,1,1,1,1,0,0,1049.TA.2-SCO-sj2-1.55.H
253481,253591,540,17820,17280,1,1,1,1,1,0,0,1049.TA.2-SCO-sj2-1.55.H
253591,2541191,540,18360,17820,1,1,1,1,1,0,0,1049.TA.2-SCO-sj2-1.55.H
202291,202761,180,43260,43080,0,0,0,0,0,1,1,1049.TA.2-T4-sj2-1.19.H
202761,201171,120,43380,43260,0,0,0,0,0,1,1,1049.TA.2-T4-sj2-1.19.H
201171,2000361,60,43500,43440,0,0,0,0,0,1,1,1049.TA.2-T4-sj2-1.19.H
2220354,2220364,180,56340,56160,0,0,0,0,0,1,1,1059.TA.2-T4-sj2-1.19.H
2220364,2222132,120,56460,56340,0,0,0,0,0,1,1,1059.TA.2-T4-sj2-1.19.H
